event_id,method_name,target_linked,n_hidden_frames,n_hidden_frames_alive,hidden_frame_coverage,fully_bridged,n_hidden_frames_with_gt,mean_center_error_px,mean_iou,recovery_status,recovery_latency_frames,event_source,ablation_mode
6f83169d_track21_detector_intervention_d2_c0.5,oatm_dual,True,2,2,1.0,True,2,2.6456001291906652,0.8874511060040859,same_id,0.0,detector_intervention,dual
6f83169d_track21_detector_intervention_d2_c1.0,oatm_motion_only,True,2,2,1.0,True,2,4.156171439693743,0.8544441682370268,same_id,0.0,detector_intervention,motion_only
6f83169d_track21_detector_intervention_d2_c1.0,oatm_appearance_only,True,2,2,1.0,True,2,4.156171439693743,0.8544441682370268,same_id,0.0,detector_intervention,appearance_only
6f83169d_track21_detector_intervention_d2_c1.0,oatm_dual,True,2,2,1.0,True,2,4.156171439693743,0.8544441682370268,same_id,0.0,detector_intervention,dual
6f83169d_track21_detector_intervention_d5_c0.5,oatm_motion_only,True,5,5,1.0,True,5,4.941667609150418,0.8235442863251411,same_id,0.0,detector_intervention,motion_only
6f83169d_track21_detector_intervention_d5_c0.5,oatm_appearance_only,True,5,5,1.0,True,5,4.941667609150418,0.8235442863251411,same_id,0.0,detector_intervention,appearance_only
6f83169d_track21_detector_intervention_d5_c0.5,oatm_dual,True,5,5,1.0,True,5,4.941667609150418,0.8235442863251411,same_id,0.0,detector_intervention,dual
6f83169d_track21_detector_intervention_d5_c1.0,oatm_motion_only,True,5,1,0.2,False,1,1.3403605019597615,0.9142564916567993,new_id,6.0,detector_intervention,motion_only
6f83169d_track21_detector_intervention_d5_c1.0,oatm_appearance_only,True,5,1,0.2,False,1,1.3403605019597615,0.9142564916567993,new_id,6.0,detector_intervention,appearance_only
6f83169d_track21_detector_intervention_d5_c1.0,oatm_dual,True,5,1,0.2,False,1,1.3403605019597615,0.9142564916567993,new_id,6.0,detector_intervention,dual
6f83169d_track11_controlled_visual_d2_c0.5,oatm_motion_only,True,2,2,1.0,True,2,1.3939985993655715,0.9119733818242699,same_id,4.0,controlled_visual,motion_only
6f83169d_track11_controlled_visual_d2_c0.5,oatm_appearance_only,True,2,2,1.0,True,2,1.3939985993655715,0.9119733818242699,same_id,4.0,controlled_visual,appearance_only
6f83169d_track11_controlled_visual_d2_c0.5,oatm_dual,True,2,2,1.0,True,2,1.3939985993655715,0.9119733818242699,same_id,4.0,controlled_visual,dual
