event_id,method_name,target_linked,n_hidden_frames,n_hidden_frames_alive,hidden_frame_coverage,fully_bridged,n_hidden_frames_with_gt,mean_center_error_px,mean_iou,recovery_status,recovery_latency_frames,event_source,duration,coverage
325cef68_track27_detector_intervention_d2_c0.5,sort,True,2,2,1.0,True,2,11.14612233975025,0.6694749110513285,same_id,0.0,detector_intervention,2,0.5
325cef68_track27_detector_intervention_d2_c0.5,bytetrack,True,2,2,1.0,True,2,5.224506383750567,0.8149410447107303,same_id,0.0,detector_intervention,2,0.5
325cef68_track27_detector_intervention_d2_c0.5,oatm_mvp,True,2,2,1.0,True,2,5.289416749676413,0.8110105168473127,same_id,0.0,detector_intervention,2,0.5
325cef68_track27_detector_intervention_d2_c1.0,yolo_only,True,2,0,0.0,False,0,,,detected,0.0,detector_intervention,2,1.0
325cef68_track27_detector_intervention_d2_c1.0,static_memory,True,2,2,1.0,True,2,33.537941221941765,0.2459500249771471,new_id,0.0,detector_intervention,2,1.0
325cef68_track27_detector_intervention_d2_c1.0,sort,True,2,2,1.0,True,2,11.14612233975025,0.6694749110513285,same_id,0.0,detector_intervention,2,1.0
325cef68_track27_detector_intervention_d2_c1.0,bytetrack,True,2,2,1.0,True,2,8.549890696076076,0.7204450258338624,same_id,0.0,detector_intervention,2,1.0
325cef68_track27_detector_intervention_d2_c1.0,oatm_mvp,True,2,2,1.0,True,2,8.618878051481184,0.7182245079746161,same_id,0.0,detector_intervention,2,1.0
325cef68_track27_detector_intervention_d5_c0.5,yolo_only,False,5,0,,,0,,,n/a,,detector_intervention,5,0.5
325cef68_track27_detector_intervention_d5_c0.5,static_memory,False,5,0,,,0,,,n/a,,detector_intervention,5,0.5
325cef68_track27_detector_intervention_d5_c0.5,sort,True,5,3,0.6,False,3,18.922541638629998,0.45201341739924894,new_id,0.0,detector_intervention,5,0.5
325cef68_track27_detector_intervention_d5_c0.5,bytetrack,True,5,5,1.0,True,5,5.788596515401185,0.8161894355367909,same_id,0.0,detector_intervention,5,0.5
325cef68_track27_detector_intervention_d5_c0.5,oatm_mvp,True,5,5,1.0,True,5,5.548183749631994,0.8183638183965526,same_id,0.0,detector_intervention,5,0.5
325cef68_track27_detector_intervention_d5_c1.0,yolo_only,False,5,0,,,0,,,n/a,,detector_intervention,5,1.0
325cef68_track27_detector_intervention_d5_c1.0,static_memory,False,5,0,,,0,,,n/a,,detector_intervention,5,1.0
325cef68_track27_detector_intervention_d5_c1.0,sort,True,5,3,0.6,False,3,18.922541638629998,0.45201341739924894,new_id,0.0,detector_intervention,5,1.0
325cef68_track27_detector_intervention_d5_c1.0,bytetrack,True,5,5,1.0,True,5,10.923551407138996,0.6972504355536362,same_id,0.0,detector_intervention,5,1.0
325cef68_track27_detector_intervention_d5_c1.0,oatm_mvp,True,5,5,1.0,True,5,10.956880394737514,0.6937901448474777,same_id,0.0,detector_intervention,5,1.0
de7d80a1_track8_detector_intervention_d2_c0.5,yolo_only,True,2,0,0.0,False,0,,,detected,0.0,detector_intervention,2,0.5
de7d80a1_track8_detector_intervention_d2_c0.5,static_memory,True,2,2,1.0,True,2,4.126760678112921,0.8128091019767643,same_id,0.0,detector_intervention,2,0.5
de7d80a1_track8_detector_intervention_d2_c0.5,sort,True,2,2,1.0,True,2,1.258058260028217,0.7973058349855595,same_id,0.0,detector_intervention,2,0.5
de7d80a1_track8_detector_intervention_d2_c0.5,bytetrack,True,2,2,1.0,True,2,0.7812486927887674,0.8909962192305956,same_id,0.0,detector_intervention,2,0.5
de7d80a1_track8_detector_intervention_d2_c0.5,oatm_mvp,True,2,2,1.0,True,2,0.7812486927887674,0.8909962192305956,same_id,0.0,detector_intervention,2,0.5
de7d80a1_track8_detector_intervention_d2_c1.0,yolo_only,True,2,0,0.0,False,0,,,detected,0.0,detector_intervention,2,1.0
de7d80a1_track8_detector_intervention_d2_c1.0,static_memory,True,2,2,1.0,True,2,4.126760678112921,0.8128091019767643,same_id,0.0,detector_intervention,2,1.0
de7d80a1_track8_detector_intervention_d2_c1.0,sort,True,2,2,1.0,True,2,1.258058260028217,0.7973058349855595,same_id,0.0,detector_intervention,2,1.0
de7d80a1_track8_detector_intervention_d2_c1.0,bytetrack,True,2,2,1.0,True,2,1.258058260028217,0.7973058349855595,same_id,0.0,detector_intervention,2,1.0
de7d80a1_track8_detector_intervention_d2_c1.0,oatm_mvp,True,2,2,1.0,True,2,1.258058260028217,0.7973058349855595,same_id,0.0,detector_intervention,2,1.0
de7d80a1_track8_detector_intervention_d5_c0.5,yolo_only,True,5,0,0.0,False,0,,,detected,0.0,detector_intervention,5,0.5
de7d80a1_track8_detector_intervention_d5_c0.5,static_memory,True,5,5,1.0,True,5,10.38856861484813,0.6526433008919372,new_id,0.0,detector_intervention,5,0.5
de7d80a1_track8_detector_intervention_d5_c0.5,sort,True,5,5,1.0,True,5,4.367012486305084,0.715812039014145,same_id,0.0,detector_intervention,5,0.5
de7d80a1_track8_detector_intervention_d5_c0.5,bytetrack,True,5,5,1.0,True,5,2.2953377166991897,0.8461004698479881,same_id,0.0,detector_intervention,5,0.5
de7d80a1_track8_detector_intervention_d5_c0.5,oatm_mvp,True,5,5,1.0,True,5,2.2953377166991897,0.8461004698479881,same_id,0.0,detector_intervention,5,0.5
de7d80a1_track8_detector_intervention_d5_c1.0,yolo_only,True,5,0,0.0,False,0,,,detected,0.0,detector_intervention,5,1.0
de7d80a1_track8_detector_intervention_d5_c1.0,static_memory,True,5,5,1.0,True,5,10.38856861484813,0.6526433008919372,new_id,0.0,detector_intervention,5,1.0
de7d80a1_track8_detector_intervention_d5_c1.0,sort,True,5,5,1.0,True,5,4.367012486305084,0.715812039014145,same_id,0.0,detector_intervention,5,1.0
de7d80a1_track8_detector_intervention_d5_c1.0,bytetrack,True,5,5,1.0,True,5,3.353417696883514,0.7485201000072126,same_id,0.0,detector_intervention,5,1.0
de7d80a1_track8_detector_intervention_d5_c1.0,oatm_mvp,True,5,1,0.2,False,1,2.164976013494808,0.8508838010703883,new_id,0.0,detector_intervention,5,1.0
cc8c0bf5_track2_detector_intervention_d2_c0.5,yolo_only,False,2,0,,,0,,,n/a,,detector_intervention,2,0.5
cc8c0bf5_track2_detector_intervention_d2_c0.5,static_memory,True,2,2,1.0,True,2,6.5847252579417175,0.6949996514519341,same_id,0.0,detector_intervention,2,0.5
