clip,track_id,gap_length,frame_offset_in_gap,variant,center_error_px,iou
clip_sample_001,4,3,1,sort_with_motion,3.989002335978495,0.8546602592958968
clip_sample_001,4,3,1,sort_zero_velocity,4.97593683757664,0.838210437036093
clip_sample_001,4,3,2,static_memory,7.097508736233718,0.7590588924305088
clip_sample_001,4,3,2,sort_with_motion,7.046745426565307,0.7499250972081005
clip_sample_001,4,3,2,sort_zero_velocity,7.434097408379138,0.7527215368816375
clip_sample_001,4,5,0,static_memory,2.1829648710438656,0.9132508728686767
clip_sample_001,4,5,0,sort_with_motion,1.4546773516582892,0.9435712577723891
clip_sample_001,4,5,0,sort_zero_velocity,2.2529443060341756,0.9103435783505633
clip_sample_001,4,5,1,static_memory,4.603099837116667,0.8363891571476536
clip_sample_001,4,5,1,sort_with_motion,3.4005661445576334,0.8825358942332581
clip_sample_001,4,5,1,sort_zero_velocity,4.640374099014539,0.8339699938052031
clip_sample_001,4,5,2,static_memory,6.508628071450031,0.7902519442665474
clip_sample_001,4,5,2,sort_with_motion,5.0813398906811695,0.8312081472858871
clip_sample_001,4,5,2,sort_zero_velocity,6.525152835686624,0.7881396349427043
clip_sample_001,4,5,3,static_memory,8.601056871221816,0.7371377817633393
clip_sample_001,4,5,3,sort_with_motion,7.857979021083634,0.7274577533055467
clip_sample_001,4,5,3,sort_zero_velocity,8.571750644898934,0.7402140487550174
clip_sample_001,4,5,4,static_memory,9.793796141350173,0.713258729897083
clip_sample_001,4,5,4,sort_with_motion,7.911274317657469,0.7367649275375712
clip_sample_001,4,5,4,sort_zero_velocity,9.797779782293983,0.7115588653431262
clip_sample_001,5,1,0,static_memory,2.6151149642461533,0.8818561083803613
clip_sample_001,5,1,0,sort_with_motion,0.16615086672680154,0.9581096520276597
clip_sample_001,5,1,0,sort_zero_velocity,1.704995259404601,0.9167787123573005
clip_sample_001,5,2,0,static_memory,1.5724787601911177,0.9312116315155797
clip_sample_001,5,2,0,sort_with_motion,3.1632188615801797,0.8836138916829263
clip_sample_001,5,2,0,sort_zero_velocity,1.957185929359697,0.9196102083793144
clip_sample_001,5,2,1,static_memory,2.2630307135587295,0.8838995849889125
clip_sample_001,5,2,1,sort_with_motion,2.249575707306126,0.9130068854560347
clip_sample_001,5,2,1,sort_zero_velocity,2.1714377323613925,0.8944624161716432
clip_sample_001,5,3,0,static_memory,1.5724787601911177,0.9312116315155797
clip_sample_001,5,3,0,sort_with_motion,3.1632188615801797,0.8836138916829263
clip_sample_001,5,3,0,sort_zero_velocity,1.957185929359697,0.9196102083793144
clip_sample_001,5,3,1,static_memory,2.2630307135587295,0.8838995849889125
clip_sample_001,5,3,1,sort_with_motion,2.249575707306126,0.9130068854560347
clip_sample_001,5,3,1,sort_zero_velocity,2.1714377323613925,0.8944624161716432
clip_sample_001,5,3,2,static_memory,2.9350795220258736,0.8563211438816498
clip_sample_001,5,3,2,sort_with_motion,3.333707865264537,0.8633088605593954
clip_sample_001,5,3,2,sort_zero_velocity,2.8151198845548073,0.8664779557843986
clip_sample_001,5,5,0,static_memory,0.7978357135759295,0.9632900567547587
clip_sample_001,5,5,0,sort_with_motion,1.2843007270514457,0.9588873516375429
clip_sample_001,5,5,0,sort_zero_velocity,1.3429993884626512,0.9240952548763538
clip_sample_001,5,5,1,static_memory,1.9962854158753953,0.9035332203374146
clip_sample_001,5,5,1,sort_with_motion,4.143001820847578,0.8573692909486622
clip_sample_001,5,5,1,sort_zero_velocity,2.401710532185065,0.8851451816084683
clip_sample_001,5,5,2,static_memory,3.042430149939878,0.8598322714247701
clip_sample_001,5,5,2,sort_with_motion,3.354784808259176,0.8838093818576378
clip_sample_001,5,5,2,sort_zero_velocity,3.578735975256314,0.8466430948516775
clip_sample_001,5,5,3,static_memory,3.704913209158894,0.8332012415572627
clip_sample_001,5,5,3,sort_with_motion,4.517539182391716,0.8318243088099145
clip_sample_001,5,5,3,sort_zero_velocity,4.235687702117042,0.8189222326783804
clip_sample_001,5,5,4,static_memory,5.22146009763816,0.7751412365143179
clip_sample_001,5,5,4,sort_with_motion,5.075084020216734,0.8163042181846512
clip_sample_001,5,5,4,sort_zero_velocity,5.74219991718019,0.7580804263870491
clip_sample_001,6,1,0,static_memory,1.2869248018912507,0.9014778316695026
clip_sample_001,6,1,0,sort_with_motion,0.7192639762499423,0.909296040275136
clip_sample_001,6,1,0,sort_zero_velocity,1.8267663409690222,0.864497014691614
clip_sample_001,6,2,0,static_memory,1.2869248018912507,0.9014778316695026
clip_sample_001,6,2,0,sort_with_motion,0.7192639762499423,0.909296040275136
clip_sample_001,6,2,0,sort_zero_velocity,1.8267663409690222,0.864497014691614
clip_sample_001,6,2,1,static_memory,2.3597030804786114,0.813044802182086
clip_sample_001,6,2,1,sort_with_motion,0.6370121736200665,0.8707670114848528
clip_sample_001,6,2,1,sort_zero_velocity,2.8412913170581877,0.7933417431254477
clip_sample_001,6,3,0,static_memory,2.328513533245179,0.8299291888947905
clip_sample_001,6,3,0,sort_with_motion,1.8551651390050647,0.8513380714364648
clip_sample_001,6,3,0,sort_zero_velocity,2.720166214099239,0.8031592139257725
clip_sample_001,6,3,1,static_memory,3.5741018215896694,0.7519626512947788
clip_sample_001,6,3,1,sort_with_motion,2.1526992172037205,0.8310188478128457
clip_sample_001,6,3,1,sort_zero_velocity,3.956181987661166,0.7370816002599058
clip_sample_001,6,3,2,static_memory,4.549302518519212,0.6904953384694967
